1610768120670|2|statement|connection 0|select * from test|select * from test
1610768173309|2|statement|connection 0|select * from test|select * from test
1610768174060|1|statement|connection 0|select * from test|select * from test
1610768248544|4|statement|connection 0|select * from test|select * from test
1611673783057|2|statement|connection 0|select * from test|select * from test
1611673826412|2|statement|connection 0|select * from test|select * from test
1611673892641|3|statement|connection 0|select * from rooms|select * from rooms
1611674020493|1|statement|connection 0|SELECT COUNT(*) FROM system_user WHERE username = ? AND pwd = ?|SELECT COUNT(*) FROM system_user WHERE username = 'root' AND pwd = 'fba0a57bbc6de91deaa375c436405bc7'
1611674020499|1|commit|connection 0||
1611674040674|1|statement|connection 0|SELECT COUNT(*) FROM system_user WHERE username = ? AND pwd = ?|SELECT COUNT(*) FROM system_user WHERE username = 'root' AND pwd = 'd5d23b080c52f070e3dc61821f325c7d'
1611674040675|1|commit|connection 0||
1611674052986|1|statement|connection 0|SELECT COUNT(*) FROM system_user WHERE username = ? AND pwd = ?|SELECT COUNT(*) FROM system_user WHERE username = 'admin' AND pwd = 'b24aa70b69405730a129e671938496ad'
1611674052987|1|commit|connection 0||
1611674096350|1|statement|connection 0|SELECT COUNT(*) FROM system_user WHERE username = ? AND pwd = ?|SELECT COUNT(*) FROM system_user WHERE username = 'root' AND pwd = 'fba0a57bbc6de91deaa375c436405bc7'
1611674096350|0|commit|connection 0||
1611674130378|2|statement|connection 0|SELECT COUNT(*) FROM system_user WHERE username = ? AND pwd = ?|SELECT COUNT(*) FROM system_user WHERE username = 'root' AND pwd = 'd5d23b080c52f070e3dc61821f325c7d'
1611674130384|1|commit|connection 0||
1611674248217|2|statement|connection 0|SELECT COUNT(*) FROM system_user WHERE username = ? AND pwd = ?;|SELECT COUNT(*) FROM system_user WHERE username = 'root' AND pwd = 'd5d23b080c52f070e3dc61821f325c7d';
1611674248221|0|commit|connection 0||
1611674281142|2|statement|connection 0|SELECT COUNT(*) FROM system_user WHERE username = ? AND pwd = ?;|SELECT COUNT(*) FROM system_user WHERE username = 'root' AND pwd = 'd5d23b080c52f070e3dc61821f325c7d';
1611674281146|0|commit|connection 0||
1611674561729|2|statement|connection 0|SELECT id FROM system_user WHERE username=? AND pwd=?|SELECT id FROM system_user WHERE username='root' AND pwd='fba0a57bbc6de91deaa375c436405bc7'
1611674561732|0|rollback|connection 0||
1611674759678|1|statement|connection 0|SELECT id FROM system_user WHERE username=? AND pwd=?|SELECT id FROM system_user WHERE username='root' AND pwd='fba0a57bbc6de91deaa375c436405bc7'
1611674759682|1|rollback|connection 0||
1611674809673|0|statement|connection 0|SELECT id FROM system_user WHERE username=? AND pwd=?|SELECT id FROM system_user WHERE username='root' AND pwd='fba0a57bbc6de91deaa375c436405bc7'
1611674809676|0|rollback|connection 0||
1611674995998|1|commit|connection 0||
1611675081167|2|statement|connection 0|SELECT id FROM system_user WHERE username=? AND pwd=?|SELECT id FROM system_user WHERE username='root' AND pwd='d5d23b080c52f070e3dc61821f325c7d'
1611675081171|1|commit|connection 0||
1611675110246|1|statement|connection 0|SELECT id FROM system_user WHERE username=? AND pwd=?|SELECT id FROM system_user WHERE username='root' AND pwd='d5d23b080c52f070e3dc61821f325c7d'
1611675110249|0|commit|connection 0||
1611675131561|1|statement|connection 0|SELECT id FROM system_user WHERE username=? AND pwd=?|SELECT id FROM system_user WHERE username='root' AND pwd='d5d23b080c52f070e3dc61821f325c7d'
1611675131564|0|commit|connection 0||
1611675254063|1|statement|connection 0|SELECT id FROM system_user WHERE username=? AND pwd=?|SELECT id FROM system_user WHERE username='root' AND pwd='d5d23b080c52f070e3dc61821f325c7d'
1611675254068|0|commit|connection 0||
1611675505674|0|statement|connection 0|SELECT id FROM system_user WHERE username=? AND pwd=?|SELECT id FROM system_user WHERE username='root' AND pwd='d5d23b080c52f070e3dc61821f325c7d'
1611675505675|0|commit|connection 0||
1611675956944|1|statement|connection 0|SELECT id FROM system_user WHERE username=? AND pwd=?|SELECT id FROM system_user WHERE username='root' AND pwd='d5d23b080c52f070e3dc61821f325c7d'
1611675956948|0|commit|connection 0||
1611675974466|1|statement|connection 0|SELECT id FROM system_user WHERE username=? AND pwd=?|SELECT id FROM system_user WHERE username='admin' AND pwd='d5d23b080c52f070e3dc61821f325c7d'
1611675974467|0|commit|connection 0||
1611675982652|0|statement|connection 0|SELECT id FROM system_user WHERE username=? AND pwd=?|SELECT id FROM system_user WHERE username='root' AND pwd='d5d23b080c52f070e3dc61821f325c7d'
1611675982652|0|commit|connection 0||
1611676288699|2|statement|connection 0|SELECT id FROM system_user WHERE username=? AND pwd=?|SELECT id FROM system_user WHERE username='root' AND pwd='d5d23b080c52f070e3dc61821f325c7d'
1611676288704|0|commit|connection 0||
1611721926974|1|statement|connection 0|SELECT id FROM system_user WHERE username=? AND pwd=?|SELECT id FROM system_user WHERE username='root' AND pwd='d5d23b080c52f070e3dc61821f325c7d'
1611721926979|0|commit|connection 0||
1611722232073|1|statement|connection 0|SELECT id FROM system_user WHERE username=? AND pwd=?|SELECT id FROM system_user WHERE username='root' AND pwd='d5d23b080c52f070e3dc61821f325c7d'
1611722232077|0|commit|connection 0||
1611722274319|1|commit|connection 0||
1611722315658|0|commit|connection 0||
1611722330145|0|statement|connection 0|SELECT id FROM system_user WHERE username=? AND pwd=?|SELECT id FROM system_user WHERE username='root' AND pwd='d5d23b080c52f070e3dc61821f325c7d'
1611722330151|0|commit|connection 0||
1611724318140|4|statement|connection 0|SELECT * FROM 		(SELECT id,authority_name AS oneName FROM system_authority WHERE parent=0) t1 		INNER JOIN 		(SELECT authority_name AS twoName,authority_url AS twoUrl,parent 		FROM system_authority WHERE parent!=0) t2 		ON t2.parent=t1.id|SELECT * FROM 		(SELECT id,authority_name AS oneName FROM system_authority WHERE parent=0) t1 		INNER JOIN 		(SELECT authority_name AS twoName,authority_url AS twoUrl,parent 		FROM system_authority WHERE parent!=0) t2 		ON t2.parent=t1.id
1611724318147|0|commit|connection 0||
1611724679670|1|statement|connection 0|SELECT * FROM 		(SELECT id,authority_name AS oneName FROM system_authority WHERE parent=0) t1 		INNER JOIN 		(SELECT authority_name AS twoName,authority_url AS twoUrl,parent 		FROM system_authority WHERE parent!=0) t2 		ON t2.parent=t1.id|SELECT * FROM 		(SELECT id,authority_name AS oneName FROM system_authority WHERE parent=0) t1 		INNER JOIN 		(SELECT authority_name AS twoName,authority_url AS twoUrl,parent 		FROM system_authority WHERE parent!=0) t2 		ON t2.parent=t1.id
1611724679675|1|commit|connection 0||
1611725133727|1|statement|connection 0|SELECT id FROM system_user WHERE username=? AND pwd=?|SELECT id FROM system_user WHERE username='root' AND pwd='d5d23b080c52f070e3dc61821f325c7d'
1611725133731|0|commit|connection 0||
1611725133736|2|statement|connection 0|SELECT * FROM 		(SELECT id,authority_name AS oneName FROM system_authority WHERE parent=0) t1 		INNER JOIN 		(SELECT authority_name AS twoName,authority_url AS twoUrl,parent 		FROM system_authority WHERE parent!=0) t2 		ON t2.parent=t1.id|SELECT * FROM 		(SELECT id,authority_name AS oneName FROM system_authority WHERE parent=0) t1 		INNER JOIN 		(SELECT authority_name AS twoName,authority_url AS twoUrl,parent 		FROM system_authority WHERE parent!=0) t2 		ON t2.parent=t1.id
1611725133740|1|commit|connection 0||
1611725558189|0|statement|connection 0|SELECT id FROM system_user WHERE username=? AND pwd=?|SELECT id FROM system_user WHERE username='root' AND pwd='d5d23b080c52f070e3dc61821f325c7d'
1611725558194|0|commit|connection 0||
